WeekStartDate,Forecast_Or_Actual_Value,Forecast_Or_Actual_Value_Legend
26-Aug-2024,3944.9929999999999,2024-25-Residual Energy Forecast
16-Sep-2024,3949.3510000000001,2024-25-Residual Energy Forecast
14-Oct-2024,3949.9830000000002,2024-25-Residual Energy Forecast
02-Sep-2024,3960.2449999999999,2024-25-Residual Energy Forecast
19-Aug-2024,3960.4270000000001,2024-25-Residual Energy Forecast
09-Sep-2024,3960.5520000000001,2024-25-Residual Energy Forecast
30-Sep-2024,3964.6210000000001,2024-25-Residual Energy Forecast
21-Oct-2024,3977.4720000000002,2024-25-Residual Energy Forecast
12-Aug-2024,3998.8820000000001,2024-25-Residual Energy Forecast
17-Mar-2025,4013.5650000000001,2024-25-Residual Energy Forecast
05-Aug-2024,4023.6300000000001,2024-25-Residual Energy Forecast
13-Jan-2025,4030.3989999999999,2024-25-Residual Energy Forecast
27-Jan-2025,4047.3299999999999,2024-25-Residual Energy Forecast
20-Jan-2025,4047.6579999999999,2024-25-Residual Energy Forecast
09-Dec-2024,4057.6990000000001,2024-25-Residual Energy Forecast
28-Oct-2024,4063.567,2024-25-Residual Energy Forecast
02-Dec-2024,4068.3879999999999,2024-25-Residual Energy Forecast
24-Mar-2025,4071.377,2024-25-Residual Energy Forecast
18-Nov-2024,4073.3829999999998,2024-25-Residual Energy Forecast
03-Feb-2025,4074.232,2024-25-Residual Energy Forecast
24-Feb-2025,4076.3200000000002,2024-25-Residual Energy Forecast
10-Feb-2025,4089.4490000000001,2024-25-Residual Energy Forecast
25-Nov-2024,4094.933,2024-25-Residual Energy Forecast
04-Nov-2024,4099.4719999999998,2024-25-Residual Energy Forecast
17-Feb-2025,4103.6809999999996,2024-25-Residual Energy Forecast
03-Mar-2025,4105.7610000000004,2024-25-Residual Energy Forecast
11-Nov-2024,4106.991,2024-25-Residual Energy Forecast
29-Jul-2024,4115.5379999999996,2024-25-Residual Energy Forecast
10-Mar-2025,4128.3559999999998,2024-25-Residual Energy Forecast
03-Mar-2025,,2024-25-RSA Contracted Energy Demand
10-Mar-2025,,2024-25-RSA Contracted Energy Demand
17-Mar-2025,,2024-25-RSA Contracted Energy Demand
24-Mar-2025,,2024-25-RSA Contracted Energy Demand
17-Feb-2025,,2024-25-RSA Contracted Energy Demand
24-Feb-2025,,2024-25-RSA Contracted Energy Demand
03-Feb-2025,,2024-25-RSA Contracted Energy Demand
10-Feb-2025,,2024-25-RSA Contracted Energy Demand
11-Nov-2024,,2024-25-RSA Contracted Energy Demand
18-Nov-2024,,2024-25-RSA Contracted Energy Demand
04-Nov-2024,,2024-25-RSA Contracted Energy Demand
28-Oct-2024,,2024-25-RSA Contracted Energy Demand
25-Nov-2024,,2024-25-RSA Contracted Energy Demand
02-Dec-2024,,2024-25-RSA Contracted Energy Demand
09-Dec-2024,,2024-25-RSA Contracted Energy Demand
16-Dec-2024,,2024-25-RSA Contracted Energy Demand
